sampleID	site	month	year	season	cat	cat2	month.year	type	colony.name	colony.name2	colony.no	lesion.name	lesion.type	lesion.size	progr.rate	date
LP167	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	D	D	79	79-pink	A	1.8	0.16	8/23/2024
LP168	Luminao	Aug	2024	wet	L-D	Lu-Aug	Aug.24	diseased	D	D	79	79-yellow	A	1.18	0.14	8/23/2024
LP169	Luminao	Aug	2024	wet	L-H	Lu-Aug	Aug.24	healthy	A	A	72	72-H1+H2+H3	na	na	na	8/23/2024
LP17	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	D	D	79	79-orange	S	0.69	0	11/24/2023
LP170	Luminao	Aug	2024	wet	L-H	Lu-Aug	Aug.24	healthy	C	C	78	78-H1+H2+H3	na	na	na	8/23/2024
LP171	Luminao	Aug	2024	wet	L-H	Lu-Aug	Aug.24	healthy	B	B	74	74-H1+H2+H3	na	na	na	8/23/2024
LP172	Luminao	Aug	2024	wet	L-H	Lu-Aug	Aug.24	healthy	D	D	79	79-H1+H2+H3	na	na	na	8/23/2024
LP173	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	F	F	83	83-blue 	S	13.72355556	0	8/29/2024
LP174	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	F	F	83	83-red	S	19.13666667	0	8/29/2024
LP175	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	F	F	83	83-yellow	A	3.204	0.311166667	8/29/2024
LP176	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	G	F	86	86-blue 	A	8.744	0.703	8/29/2024
LP177	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	G	F	86	86-green	S	6.474	0	8/29/2024
LP178	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	E	E	88	88-orange	S	3.485666667	0	8/29/2024
LP179	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	E	E	88	88-yellow	S	0.613111111	0	8/29/2024
LP18	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	D	D	79	79-yellow	S	0.38	0	11/24/2023
LP180	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	G	E	91	91-blue 	S	2.320333333	0	8/29/2024
LP181	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	G	E	91	91-green	S	1.820666667	0	8/29/2024
LP182	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	G	E	91	91-yellow	S	1.402777778	0	8/29/2024
LP183	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	I	G	93	93-blue 	S	1.352333333	0	8/29/2024
LP184	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	I	G	93	93-green	S	2.335777778	0	8/29/2024
LP185	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	I	G	93	93-red	A	1.323333333	0.779833333	8/29/2024
LP186	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	J	G	94	94-orange	S	5.349444444	0	8/29/2024
LP187	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	J	G	94	94-yellow	S	12.51566667	0	8/29/2024
LP188	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	K	H	95	95-green	S	2.201	0	8/29/2024
LP189	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	K	H	95	95-yellow	S	0.439333333	0	8/29/2024
LP19	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	D	D	79	79-black	A	1.04	0.08	11/24/2023
LP190	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	L	H	97	97-blue 	S	4.444333333	0	8/29/2024
LP191	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	M	H	98	98-green	S	0.871333333	0	8/29/2024
LP192	Tumon	Aug	2024	wet	T-D	Tu-Aug	Aug.24	diseased	M	H	98	98-yellow	S	4.460444444	0	8/29/2024
LP193	Tumon	Aug	2024	wet	T-H	Tu-Aug	Aug.24	healthy	F	F	83	83-H1+H2	na	na	na	8/29/2024
LP194	Tumon	Aug	2024	wet	T-H	Tu-Aug	Aug.24	healthy	G	G	86	86-H1+H2	na	na	na	8/29/2024
LP195	Tumon	Aug	2024	wet	T-H	Tu-Aug	Aug.24	healthy	E	E	88	88-H1+H2	na	na	na	8/29/2024
LP196	Tumon	Aug	2024	wet	T-H	Tu-Aug	Aug.24	healthy	G	G	91	91-H1+H2	na	na	na	8/29/2024
LP197	Tumon	Aug	2024	wet	T-H	Tu-Aug	Aug.24	healthy	I	E	93	93-H1+H2	na	na	na	8/29/2024
LP198	Tumon	Aug	2024	wet	T-H	Tu-Aug	Aug.24	healthy	J	E	94	94-H1+H2	na	na	na	8/29/2024
LP199	Tumon	Aug	2024	wet	T-H	Tu-Aug	Aug.24	healthy	K	G	95	95-H1+H2	na	na	na	8/29/2024
LP2	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	A	A	72	72-orange	A	1.61	0.44	11/24/2023
LP20	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	D	D	79	79-white	S	1	0	11/24/2023
LP200	Tumon	Aug	2024	wet	T-H	Tu-Aug	Aug.24	healthy	L	F	97	97-H1	na	na	na	8/29/2024
LP201	Tumon	Aug	2024	wet	T-H	Tu-Aug	Aug.24	healthy	M	H	98	98-H1	na	na	na	8/29/2024
LP21	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	G	E	91	91-red	S	3.12	0	12/1/2023
LP22	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	G	E	91	91-yellow	A	1.63	0.2	12/1/2023
LP23	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	G	E	91	91-blue	S	4.5	0	12/1/2023
LP24	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	G	E	91	91-green	S	1.58	0	12/1/2023
LP25	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	H	F	92	92-yellow	S	1.4	0	12/1/2023
LP26	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	H	F	92	92-blue	A	0.67	0.22	12/1/2023
LP27	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	H	F	92	92-green	A	0.49	0.17	12/1/2023
LP28	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	I	G	93	93-blue	S	0.23	0	12/1/2023
LP29	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	I	G	93	93-green	A	0.96	0.15	12/1/2023
LP3	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	A	A	72	72-yellow	S	0.49	0	11/24/2023
LP30	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	I	G	93	93-yellow	S	13.36	0	12/1/2023
LP31	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	I	G	93	93-red	S	2.94	0	12/1/2023
LP32	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	I	G	93	93-purple	S	1.37	0	12/1/2023
LP33	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	J	H	94	94-red	S	6.34	0	12/1/2023
LP34	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	J	H	94	94-yellow	S	1.29	0	12/1/2023
LP35	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	J	H	94	94-purple	S	0.22	0	12/1/2023
LP36	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	J	H	94	94-blue	S	0.59	0	12/1/2023
LP37	Tumon	Nov	2023	tran	T-D	Tu-Nov	Nov.23	diseased	J	H	94	94-green	S	3.78	0	12/1/2023
LP38	Luminao	Nov	2023	wet	L-H	Lu-Nov	Nov.23	healthy	A	A	72	72-H1+H2+H3	na	na	na	11/24/2023
LP39	Luminao	Nov	2023	wet	L-H	Lu-Nov	Nov.23	healthy	B	B	74	74-H1+H2+H3	na	na	na	11/24/2023
LP4	Luminao	Nov	2023	tran	L-D	Lu-Nov	Nov.23	diseased	A	A	72	72-black	S	1.98	0	11/24/2023
LP40	Luminao	Nov	2023	wet	L-H	Lu-Nov	Nov.23	healthy	C	C	78	78-H1+H2+H3	na	na	na	11/24/2023
LP41	Luminao	Nov	2023	wet	L-H	Lu-Nov	Nov.23	healthy	D	D	79	79-H1+H2+H3	na	na	na	11/24/2023
LP42	Tumon	Nov	2023	wet	T-H	Tu-Nov	Nov.23	healthy	G	G	91	91-H1+H2+H3	na	na	na	12/1/2023
